ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,账单图片,关联账单
qj1703925982644156177,2023-12-30 16:46:14,餐饮,晚餐,支出,25.0,CNY,微信余额,,卤味,,,,哇哈哈哇,,,
qj1703904424404129719,2023-12-30 10:46:54,餐饮,午餐,支出,7.8,CNY,支付白,,牛小面,,,,哇哈哈哇,,,
qj1703853294651107281,2023-12-29 20:34:41,其它,,转账,99.7,CNY,苏农社保卡,018603,购买基金,,,0.3,哇哈哈哇,,,
qj1703853119542137999,2023-12-29 20:31:51,其它,,转账,99.5,CNY,招商,018603,购买基金,,,0.5,哇哈哈哇,,,
qj1703852979477115953,2023-12-29 20:29:18,其它,,转账,997.82,CNY,招商,018603,购买基金,,,2.18,哇哈哈哇,,,
qj1703842721395142510,2023-12-29 17:38:23,餐饮,晚餐,支出,5.0,CNY,微信余额,,酱香饼,,,,哇哈哈哇,,,
qj1703842111817152761,2023-12-29 17:28:21,餐饮,零食,支出,17.78,CNY,支付白,,炒栗子,,,,哇哈哈哇,,,
qj1703751429841109492,2023-12-28 16:17:04,住房,燃气,支出,47.0,CNY,微信余额,,,,,,哇哈哈哇,,,
qj1703750485655138611,2023-12-28 16:01:18,套现,,收入,18.0,CNY,支付宝余额,,数币红包,,,,哇哈哈哇,,,
qj1703750404802151349,2023-12-28 15:59:52,其它,,转账,170.0,CNY,招商,支付宝余额,,,,,哇哈哈哇,,,
qj1703687823296132995,2023-12-27 22:36:49,日常,日用,支出,10.88,CNY,支付白,,斗笠碗,,,,哇哈哈哇,,,
qj1703669433112129110,2023-12-27 17:30:23,餐饮,晚餐,支出,11.0,CNY,支付白,,鸡蛋饼,,,,哇哈哈哇,,,
qj1703666649087162452,2023-12-27 16:36:53,其它,,转账,10000.0,CNY,016557,008204,持仓调整,,,,哇哈哈哇,,,
qj1703634640314179063,2023-12-27 07:50:30,其它,,还款,841.96,CNY,招商,支付白,,,,,哇哈哈哇,,,
qj17035224276568052,2023-12-26 11:00:00,服饰,鞋子,支出,111.02,CNY,支付白,,鞋子,,,,哇哈哈哇,不计预算,,
qj1703503366087127035,2023-12-25 19:22:36,餐饮,晚餐,支出,14.8,CNY,支付白,,牛小面,,,,哇哈哈哇,,,
qj1703475567264179078,2023-12-25 11:39:11,其它,,转账,500.0,CNY,苏银吉时宝,016453,买入基金,,,,哇哈哈哇,,,
qj1703475396707186011,2023-12-25 11:36:22,收益,,收入,100.0,CNY,苏银吉时宝,,,,,,哇哈哈哇,,,
qj1703429958260148828,2023-12-24 22:59:04,平账,,收入,30.0,CNY,湾上风华,,门禁卡,,,,哇哈哈哇,不计收支,,
qj17034299423777464,2023-12-24 22:59:02,平账,,收入,1250.0,CNY,湾上风华,,初始化(0.00 ~ 1250.00),,,,哇哈哈哇,不计收支,,
qj1703412523629192077,2023-12-24 18:08:27,餐饮,晚餐,支出,8.8,CNY,支付白,,牛小面,,,5.0,哇哈哈哇,,,
qj1703394491537122609,2023-12-24 13:08:03,其它,,转账,5.0,CNY,苏农,苏农社保卡,,,,,哇哈哈哇,,,
qj1703394429155183104,2023-12-24 13:06:57,其它,,转账,30.0,CNY,苏农社保卡,苏农,,,,,哇哈哈哇,,,
qj1703394158208155378,2023-12-24 13:02:29,收益,,收入,0.01,CNY,邮储,,活期利息,,,,哇哈哈哇,,,
qj1703394121319112737,2023-12-24 13:01:54,收益,,收入,0.1,CNY,苏农社保卡,,活期利息,,,,哇哈哈哇,,,
qj1703394007806134058,2023-12-24 13:00:00,收益,,收入,0.01,CNY,民生,,活期利息,,,,哇哈哈哇,,,
qj1703393976081121185,2023-12-24 12:59:26,收益,,收入,3.43,CNY,招商,,活期利息,,,,哇哈哈哇,,,
qj1703393858893142820,2023-12-24 12:57:27,收益,,收入,0.01,CNY,建行,,活期利息,,,,哇哈哈哇,,,
qj1703393446708146304,2023-12-24 12:50:30,收益,,收入,0.32,CNY,工行,,活期利息,,,,哇哈哈哇,,,
qj1703331108366118675,2023-12-23 19:31:24,餐饮,晚餐,支出,11.24,CNY,支付白,,卷饼,,,10.0,哇哈哈哇,,,
qj17033076587777360,2023-12-23 13:00:54,日常,日用,退款,77.0,CNY,运通绿卡,,,,,,哇哈哈哇,,,qj1703136051244157405
qj1703305886487183738,2023-12-23 12:31:18,住房,电费,支出,50.0,CNY,微信余额,,,,,,哇哈哈哇,,,
qj1703298866027120431,2023-12-23 10:34:16,餐饮,午餐,支出,17.88,CNY,支付白,,炒饭,,,,哇哈哈哇,,,
qj1703228657504153200,2023-12-22 15:03:55,数码,付费会员,支出,3.0,CNY,微信余额,,YouTube车费,,,,哇哈哈哇,,,
qj1703227573466161558,2023-12-22 14:45:51,日常,日用,支出,6.8,CNY,支付白,,防风胶带,,,,哇哈哈哇,,,
qj1703226146984130570,2023-12-22 14:22:14,套现,,收入,0.05,CNY,微信余额,,拼多多红包,,,,哇哈哈哇,,,
qj1703208554995190988,2023-12-22 09:29:00,其它,,还款,228.8,CNY,招商,书香卡,,,,,哇哈哈哇,,,
qj1703152340440107386,2023-12-21 17:52:14,日常,充电,支出,2.0,CNY,支付白,,,,,,哇哈哈哇,,,
qj1703136051244157405,2023-12-21 13:20:40,日常,日用,支出,77.0,CNY,运通绿卡,,头盔,,,,哇哈哈哇,,,
qj1703127833382198915,2023-12-21 11:03:38,餐饮,午餐,支出,20.5,CNY,支付白,,大牌冒菜,,,,哇哈哈哇,,,
qj1703086403435128721,2023-12-20 23:33:12,餐饮,零食,支出,9.9,CNY,支付白,,辣条,,,,哇哈哈哇,,,
qj1703031492625171663,2023-12-20 08:17:51,套现,,收入,0.02,CNY,微信余额,,拼多多红包,,,,哇哈哈哇,,,
qj1703031035213198971,2023-12-20 08:10:14,日常,日用,支出,8.4,CNY,支付白,,门缝挡风条,,,,哇哈哈哇,,,
qj1702981735985159831,2023-12-19 18:28:38,餐饮,零食,支出,14.63,CNY,支付白,,炒栗子,,,,哇哈哈哇,,,
qj1702980765027117163,2023-12-19 18:12:29,餐饮,晚餐,支出,8.0,CNY,支付白,,牛小面,,,,哇哈哈哇,,,
qj1702943527266159090,2023-12-19 07:51:57,出行,打车,支出,2.23,CNY,支付白,,,,,,哇哈哈哇,,,
qj1702898997396120481,2023-12-18 19:29:44,餐饮,晚餐,支出,33.38,CNY,支付宝余额,,肯德基,,,,哇哈哈哇,,,
qj1702822416180143886,2023-12-17 22:13:11,数码,付费会员,支出,20.0,CNY,支付宝余额,,饿了么会员,,,,哇哈哈哇,,,
qj1702821527944112897,2023-12-17 21:58:34,餐饮,夜宵,支出,18.28,CNY,支付白,,卷饼,,,,哇哈哈哇,,,
qj1702803754761102116,2023-12-17 17:02:21,餐饮,晚餐,支出,16.84,CNY,支付白,,大牌冒菜,,,,哇哈哈哇,,,
qj1702788327926122822,2023-12-17 12:45:08,餐饮,午餐,支出,14.5,CNY,支付白,,炒饭,,,5.0,哇哈哈哇,,,
qj1702732338059162776,2023-12-16 21:11:58,其它,,转账,1000.0,CNY,招商,006105,买入基金,,,,哇哈哈哇,,,
qj1702695837674114692,2023-12-16 11:03:34,餐饮,午餐,支出,15.8,CNY,支付白,,紫燕百味鸡,,,10.0,哇哈哈哇,,,
qj17026292589562664,2023-12-15 16:34:12,日常,日用,退款,28.14,CNY,支付白,,,,,,哇哈哈哇,,,qj1702612597775152412
qj1702621274864171266,2023-12-15 14:21:06,日常,日用,支出,29.0,CNY,支付白,,帽子,,,,哇哈哈哇,,,
qj1702612597775152412,2023-12-15 11:56:15,日常,日用,支出,28.14,CNY,支付白,,抱枕毯子,,,,哇哈哈哇,,,
qj1702610228909145007,2023-12-15 11:17:00,日常,快递,支出,12.0,CNY,支付白,,,,,,哇哈哈哇,,,
qj1702548409550188308,2023-12-14 18:06:24,套现,,收入,200.0,CNY,微信余额,,劳保费 92折,,,,哇哈哈哇,,,
